,review_no,discount_text
20542,1667398,"sample, I opted not to. I didn't expect much (probably the regular dry ashiness of no lotion.. But my legs were surprisingly not too bad. Super impressed. I also liked the blue color.. Pretty. And I liked the curved grip handle, that was nice too. I was given the opportunity to try this product for free"
20657,2692282,"sample, and I have to say that particular color is garish and ugly. You probably want some other color for this model! But I do feel you get a reasonably well suited protective case at a good price no matter what color you get. Just don't expect too much and get a tougher case if you'll be using your Iphone in Afghanistan or a factory!y. The thumb swipe sensor is free"
20668,1736681,Sample provided for review
20779,684651,"sample to test, with the option to review"
21030,2299609,sample was provided for testing
21293,999716,"sample of this last year in another DermaE product I had ordered, but only recently got around to trying it when I was on vacation.  After using it for a few days, I had to order a full bottle as soon as we got home.  It has such a lovely vanilla scent to it and is so creamy and lovely to use that I feel like I'm having a mini-spa experience each time I use it.<br /><br />It also does a nice job of removing makeup, although I always use a toner at night to feel completely clean.<br /><br />I haven't yet tried it with my Clarisonic since it's so creamy that I'm worried it'll make mess, but on its own it's great.<br /><br />Great product!<br /><br />UPDATE ON 1/8/12:  I originally gave this product five starts, but just downgraded my review"
21390,1404518,free coupon) as some of the review
21472,2898528,sample provided to review
22080,1683808,"freebie is 322 pages and is a gem in the trending genre of mermaids. The plot is intense, but to sum up, Ashlyn (heroine) and Tatiana are planning on heading off to Florida for college when Tatiana and her family disappear without a trace (including her hot twin, Fin ... the hero). Turns out, Tatiana and Fin are Mer people, and they are fighting to stay on land. The story is told from both Fin's and Ashlyn's perspectives and are vastly different and unique. This was a great YA read and stood out among the tons out there in the YA genre now. While the next books aren't free"
22105,1913280,sample of this &#34;lunch bag&#34; from Freddie and Sebbie to examine and test for my review
22344,3188886,sample of this case so that I could test it for my review
23196,2257475,"sample Nutrigold's Maca caps, and I'm impressed. I find it stimulating and uplifting mood-wise, with increased alertness but without any of the feeling of being jittery or wired that I tend to get on the rare occasions that I have one or more energy drinks or drink more than 2 cups of coffee in a day. But I have found that if I take a Nutrigold maca cap after noon, I don't find it as easy to wind down as I'd like in the evening before bed, so I'm careful about that. I also found that for me, 1 a day is enough, though the suggested use section of the label says adults can take 1 cap 3 times daily. I haven't tried maca long enough to know if one can develop tolerance with regular use. The next time I do an 8-10 hour drive (something I do several times a year) I'll see how maca might help and I'll forego the energy drink(s) I usually indulge in on such occasions.<br /><br />Maca is an Andean plant of the mustard family. Insufficient scientific studies have been done to validate some of the claims made about maca, e.g., see the  research article at biomedcentral dot com titled, \\""Maca (L. meyenii) for improving sexual function: a systematic review"
23658,541772,Sample provided for review
23687,3026689,"sample was more than enough.<br />*Separate boys and girls training pants for function and fun Disney character designs.<br />*Elastic waist teaches kids the front/back, and slide pants on/off like regular underwear.<br />*Easy to open sides for mess-free"
24201,3511503,sample was provided for review
24854,2888425,sample for testing
25189,14060,"sample easily and just drag & drop in, with place holders to just edit the title text and right-click to replace a video or picture embedded within.  So your video starts with a nice titled introduction with embedded video (or picture) in a smaller bubble to introduce the segment.  There are lots of tools, filters / lenses, and options at your disposal.  Although with more options comes some amount of confusion and complexity at first.  More options and power doesn't make for quick editing.  The video conversions & combining might be optimized, but the time to actually work on your project will take some time.  This is not as intuitive or quick to do simple editing jobs as some simpler editors that just let you quickly trim/split/cut/combine/convert video.  It doesn't simply browser or organize your existing media library, but you can drag in anything to start working on it in a project.  But if you want to take the time to really work on something, then this offers the tools that help you do something really professional.<br /><br />The software starts with a getting started pop up with links to video tutorials to help you get started.  I strongly advise you to watch them if you are new (like me) to advanced editing tools, or you can be overwhelmed or confused about what to do and how to do it.  But it really isn't too bad.  But if you are expecting to just find your videos and start doing quick editing with them, this isn't the case.  For example, my Sony Camcorder comes with really good simple software that finds and browses all my videos easily, and can trim/cut/split/combine/convert videos as just the video files that they are.  But with this, you work within a project, and can drag/drop files into a story board, work on them from there, work on it to perfections, then produce the result.  But if you wanted to make a longer video like a wedding video with separately titled scenes, then this software can do far more than the simple camcorder software cannot.  So if you are looking only for an incremental step up from your existing editing tool, this one is just something suited for the larger picture than quick editing.  I wish it was a little easier to bridge the gap, and suit all needs.  For example, I do a lot of video review"
25301,1570944,"free product.ast minute convenience factor if I don't have time to prepare fresh potatoes or am out of them.  There is a recipe from \\""Allison's Kitchen\\"" for roasted garlic potato-broccoli soup that sounds delicious.  Edward & Sons organic mashed potatoes are an excellent choice for those who want an organic and/or gluten free"
25350,668040,sample for unbiased evaluation
25376,481484,sample of this ring to examine and test for my review
25497,1132940,sample of these labels was provided by the manufacturer for review
25583,3073592,Sample provided for review
25771,2595151,sample pair was provided for unbiased review
25837,1989338,sample for testing
26001,2476981,Sample provided for review
26049,1471723,"sample period's delay to the signal, and certainly not anything noticable to the human ear, we should be talking hundreds of microseconds (1/44100 of a sec), not the 50mS that some people are experiencing.  This isn't actually such a problem for me, as my media player (Asus O!Play) lets me compensate for this by advancing or retarding the sound.  Other commenters have said this conversion delay contributes to the lag, but that's not it.  Unfortunately Senheiser are also buffering the sound, presumably chopping it up into packets prior to radio transmission.  This is the only explanation I can come up with, just like an mp3 player does for it's encoding blocks (which will add a further delay if listening to such material).  So this isn't the final story, and it seems there's another generation of devices that needs to get introduced before we finally get wireless movie sound that anyone could consider 'videophile' (if such a word exists).  But the above isn't the reason why I'm seriously thinking of returning these.  It's the sound drop-outs during quiet periods.  How incredibly stupid to produce a pair of phones at this price, and add a feature which changes the sound representation, but not provide any means of disabling it!  What exactly were they thinking?  \\""Oh let's save the user a tiny amount of electricity by stopping transmission\\"" or was it \\""Let's save the user a bit of bandwidth in on their 2.4GHz wifi network so their in-house internet data transmission runs just that bit faster\\"".  No, my mistake, it was to save a bit of batter powery in the receivers, because 24h listening time on one charge is only just enough right?  Myself, I just prefer about 4-5 hours listening time WITHOUT ANY INTERRUPTIONS.  Is that too much to ask?  For Sennheiser, the answer it seems is yes.  Another review"
26674,3187114,free product for the purpose of my review
26694,3245958,sample was provided by Big Head Bob for testing
26951,428326,Sample provided for review
27165,1837018,Sample provided for review
27510,328030,Sample provided for review
27656,664093,Sample provided for review
27727,1338430,sample for review
27794,132983,sample we received is representative of what you will receive when you order from this listing.<br />- Dr D “Amazon review
27845,476799,sample was provided for review
28006,1429192,"freebies that come with cheap MP3 players to $350+ high quality studio headphones. Universally you find that you pay for performance, so the higher cost headphones have better sound and performance.  In other words, I can normally put on a pair of headphones and say if they are $100 sound, $200 sound, or $300 sound.  In evaluating any headphones, I have to rate them on quality of the sound for the dollar paid.  So I have rated $20 headphones 5 stars that would get 3 stars if they cost $200.  Cost and performance must both be considered in the review"
28038,2824608,sample for testing
28367,3381394,sample was provided for review
28494,3046961,Sample Was Provided For Unbiased Review
28713,486980,sample for testing
29161,390562,sample of Organic Whole Grain Quinoa in return for an honest review
29334,2457877,"sample of the Jackson 5's \\""Feel It\\"" with a few electronic touches.  CD One though really rocks to me - terrific tunes like Run DMC's \\""It's Like That\\"" remixed, \\""Storm\\"", and I used to love \\""Kinetic\\"" by the Golden Girls and all of the remixes.  I also loved the energyh of \\""1998\\"" remixed by PVD, and this mix of \\""Cafe Del Mar\\"" is still my personal favorite.  Rounding out CD one were amazing trace tracks by PVD and Nalin and Kane, who featured with some of the best trance tracks that were ever made IMO on disc one.<br /><br />Disc two doesn't slow down either.  Although it has a bit more of a poppyh feel thanks to Mouse T's \\""Horny\\""... I rememebr when that song was pumping!  Still have the cd single!  But it starts out a bit weaker than disc one, including a rehash of Stardust's cut that opened disc one.  But once Teardrops kicks and \\""Sugar is Sweeter\\"", that remix that's now timeless kicks, you're on a throbbin' trance journey.  \\""Sunchyme\\"", the trance mix brings me back to club nights at \\""Avalon\\"" and also in England, whlie \\""Higher State of Consciousness\\"" had the deep, dark electronic element to the music that was just cool.  It preceeds Camisra's wildly popular \\""Let Me Show You\\"" from that time frame before the real gem of the double disc set kicks in - the cut that put Jan Johnston on the match ' \\""Skydive\\"".  The tune still gives me chills when I hear it in the car.  What's added to this is how it was so appropriately followed by \\""Ayla\\""... and the correct mix at that!  Then comes \\""Amazon Chant\\"" to somewhat wind down the trance mood - another tune that I loved before closing out with Fatboy Slim's hit \\""Rockafeller Skank\\"".<br /><br />With such a glowing review"
29565,2005513,sample for evaluation
30007,865492,Sample provided for review
30567,2799276,Sample (without the screen protector) provided in exchange for a fair and honest review
30601,2904822,"sample.<br /><br />Tamanu oil is pressed from the seeds of an evergreen tree native to Southeast Asia and the South Pacific islands.  It's anti-oxidant, anti-inflammatory, anti-biotic, and deeply moisturizing.  Research shows that it relieves pain, fades scars, cures acne, heals burns, reduces pain from arthritis and neuralgia, and regenerates skin.  Like most oils, it's rich in lipids (fatty acids) and vitamin E.<br /><br />Leia Naturals Tamanu oil comes in a dark glass bottle, which protects it from oxidizing.  It has a convenient pump dispenser which allows it to be dispensed drop by drop without any waste.  It's pure organic, cold pressed, unrefined virgin oil and it's mixed with a carrier oil.<br /><br />I used this oil on my dry, scaly elbows and did see a marked improvement after just a few days.  It absorbed quickly and didn't leave my skin sticky or oily. It was also very nice as a moisturizer after I shaved my legs.  I used a few drops of it brushed through my hair before bed, and when I shampooed in the morning my hair felt hydrated and soft. I also tried using a drop or two as an anti-frizz serum, and when I used the blow dryer on it my hair was shiny and had more body. The pleasant nutty fragrance reminded me of linseed oil, although the scent isn't overpowering.  I didn't try it on a cut or burn so I can't say how it works medicinally, but as a moisturizer and beauty oil I like it a lot.  This 1 ounce (30 ml) bottle will last a long time, and the price makes it comparable to other beauty oils I've used.  Leia Naturals also guarantees you'll love this oil, or they'll refund your money.<br /><br />If you have nut allergies, you should not use tamanu oil.  My daughter tried it on the dry skin underneath her eyes and had some redness and irritation the next day.  I didn't have any reactions from using it, but I don't have any known allergies.<br /><br />I received a complimentary sample of tamanu oil for testing"
31309,2578732,sample for review
31627,2138621,Sample provided for review
31811,1261921,Sample provided in exchange for review
31824,2689884,sample for review
32062,2543952,sample was provided for evaluation
32126,904808,Sample provided for review
32743,2946834,sample was provided for review
33145,2893696,free product in exchange for a fair and honest review
33390,2765953,sample and review
33428,2781448,sample of this product to facilitate my review
33532,2359366,freebie offer at end of this book!! Free
33839,1363096,sample was provided for testing
33847,521115,Sample provided in exchange for an honest review
33934,1793089,sample text provided and if the style is not for you then skip the book.  One review
33944,2742471,sample batch of 12 free
34050,2647302,sample of Renewalize Avocado Oil and write a review
34084,505234,Sample provided for evaluation
34230,2390352,Sample provided for review
34831,2298226,sample of this conditioner and shampoo from Influenster to try and review
34894,1364064,sample for this review
35020,1232468,Sample provided for review
35228,147006,"sample that I viewed during a presentation by LG at which a number of other people were also in attendance. I was fortunate to be able to take my own video of the TV and had about an hour of hands-on time with it after the presentation was over.<br /><br />When I first saw this TV, it was sitting right next to a top-of-the-line 4k Samsung UHD TV (Samsung HU9000). It literally took me only 2 seconds to determine that the LG had such a superior picture quality that I was sold on the spot. There is an insignificant amout of bezel on the screen so it looks awesome with the picture filling nearly the entire screen.<br /><br />For roughly the same amount of money as a 4k UHD LCD TV, you can buy this TV with  OLED technology that blows other LCD/LED TV's away. It's not a close call... it's a profoundly superior picture that can be seen easily by even someone unfamiliar with the technology.<br /><br />What I (and you) will first notice when you view this TV is that blacks are black... not dark gray but black. The reason that blacks on the OLED are so superior to all other LCD/LED TV's is that LCD screens employ a backlight. The backlight must be on for you to see anything at all and it is that backlight that prevents an LCD/LED TV from developing true black. Black always looks dark gray and it always will as long as there is a backlight.<br /><br />The LG OLED TV does not have a backlight. That is why the blacks are black. And the carry through with this is that overall contrast is so much better too, that it is impossible not to notice... even when a top-of-the-line 4k UHD TV is sitting right next to the LG displaying the exact same content.<br /><br />So blacks are black, contrast is superior, colors are brighter and truer, flesh tones are more realistic. Again, not slightly better but blow your socks off better.<br /><br />I also noticed how much better the LG OLED TV is when viewed off axis. With an LCD TV, as  soon as you start to view the TV from anywhere other than a few degrees from dead center, you start losing sharpness, brightness, color, everything. The picture degrades significantly. With the LG, you can move to such a sharp angle and never lost picture quality. It's quite amazing and this can be seen clearly.<br /><br />The LG OLED TV is only about 32 pounds without the stand and 37 pounds with the stand. The stand is aluminum, not plastic. It is solid and beautifully sculpted. The screen is even thinner than my iPhone5s. The screen is in thin because it doesn't have to have the backlight which makes LCD screens thicker. There is a thicker area of the TV however and that is where the electronics, ports, speakers, attachment to the base,  are located<br /><br />The internal speakers in the TV, although not producing fantastic sound, are not too bad for built-in speakers. They are downward facing and on the bottom of the TV. The sound hits the aluminum pedestal which projects the sound outward. So it's not too bad. But I'll definitely get a soundbar or surround system at some point to maximize the sound. With a picture this fine, you don't want mediocre sound.<br /><br />The remote is small and feels good in the hand. It operates from 2-AA batteries. A microphone is built-in to the remote. The remote has motion-sensing and is used when using the WebOS and for setting up the TV. It works really well. You can also program the remote to recognize known Set-Top boxes, Blu-ray players, Home Theater and Sound Bars using the Device Manager function of the TV<br /><br />Connections in and out of the TV are generous. Some of the highlights are that you get 4-HDMI inputs. 3-USB2 inputs, composite and component video inputs, optical digital output, and more. Check out the LG website for all the tech specs and more detail than I can provide in this short review"
35229,2434748,Sample provided for review
35511,3158690,sample provided for evaluation
35536,1843146,Sample provided for review
35814,3062760,"sample. I have no interest, financial or otherwise, in the company or any of its employees.asier to clean. I also tried it on dried bay leaves. It did a nice job on these, but I was not convinced it was all that much better than my old standby or crushing them in my hand.<br /><br />Dried Cloves (2/5) Again, a bit of a workout. The small size makes it tough for me to get a real good grip, and more than a couple cloves was almost more than I could grind. Again the result was almost 100% pencil-point sized shavings, which were bigger than I wanted.<br /><br />Summary- For me, couldn't really find a niche where I could balance the negatives of having one more kitchen gadget in the drawer versus the positives of what it could do. You may have a much different tolerance for gadgets, or a bigger drawer, so make your own tradeoff. The unit is nicely made, and except for the cheap-looking box with the big computer label on it, would make a reasonable gift presentation.<br /><br />It does work as designed, and smaller female hands may find it easier to handle than mine did.<br /><br />Disclaimer: I received this unit as an evaluation"
35910,141022,sample in exchange for a review
35977,3016657,sample to test for my review
36379,2993625,Sample provided for review
36458,1551699,sample of this to review
37314,3197522,sample of the blue version for an evaluation
37635,2958576,Sample batteries were sent to me for review
37674,2449591,Sample provided for review
37763,2623974,sample to test and evaluate in exchange for an honest review
37773,1567218,"freebie it was, I would have felt like I had wasted whatever cash I had invested.  As it is, I just lost five minutes of my life.  Despite the free"
38119,820,sample we received is representative of what you will receive when you order from this listing.<br />- Dr D “Amazon review
38220,2290179,sample for review
38446,3510887,sample in exchange for this unbiased review
38541,431561,sample for free
38813,2377081,"sample does not come out of the base very easily, so replacing the batteries is not going to be an easy and fast procedure.<br /><br />So, in short, while the lens is  strong enough to magnify small items, the design of this desktop lens is not optimal.  The plastic base is thin and looks cheap.<br /><br />I received a free"
38928,2706736,sample for evaluation
39043,2826465,sample for testing
39090,730858,sample wallet for evaluation
39279,1481651,Sample provided for review
39599,1931919,"free item through the Vine program, a very expensive shaver that has proved to be one of my all-time favorites.  But, when the time comes that parts (in particular, the shaving screen and blades) must be ordered, one begins to pay the Piper.  Although the shaver was free"
39693,882423,Sample provided for review
39789,1741485,"sample. I have no interest, financial or otherwise, in the manufacturer or its principles.arging. I am a fan of dark, so more electrical tape.    * The phone volume was a lot louder than the music volume. To be fair, I am not sure if this is some setting on my iPhone, or if it is just the way the units amplifier works. It didn't bother me enough to worry about trying to solve.    * There is no obvious way to tell how much charge is left in the battery. I miss the battery meter than many of my bluetooth devices now seem to have.    === Summary ===    * Despite my expectations of it being a gimmick, this is actually a useable device. I have it installed in my workshop, where it works quite well with an iPhone carried in my pocket. The phone, while not my first choice for long conversations, works well enough for quick hands-free"
40000,1191473,Sample provided for review
40248,2758602,Sample provided for review
40701,2717212,"freebie, and I'm only out the hour or so it took to read it.<br /><br />I like fluff.  I like cozy mysteries.  I like romantic suspense.  I like chick lit and beach reads.  I even like fan fiction.  That being said, I want to be able to lose myself in the story.  On that level, this book failed.<br /><br />One of the first lessons for a writer of fiction is learning the difference between telling and showing. This book is all talk. Much of the story line didn't make sense and some of it was simply unbelievable. There are too many coincidences, the romance didn't work, the dialogue was stilted, the characters flat. We don't get to know Kate, so we don't really care what happens to her (other than a basic human reaction that we don't want to see someone murdered). Overall, the author is very heavy-handed with her characters, and that is never a good thing.<br /><br />I do agree with the review"
40761,3215967,Sample wallet was provided to me for review
41210,826528,Sample received for review
41310,758317,sample was provided for review
41335,2080479,Sample provided for review
41337,1251848,freebie (well it was free
41521,1229726,sample was provided for test and review
41769,139079,Sample provided for review
42469,1183386,sample to review
42479,2101141,Sample provided for review
42508,757597,sample for review
42921,944449,sample provided for review
43210,1079948,sample was provided by the Friendly Swede for evaluation
43327,395591,sample of this lantern to test for my review
43364,520695,Sample provided for review
44057,841721,sample was provided to me for review
44327,1942631,sample of these razors through bzzagent and schick (though I am giving my honest opinion free
44379,2120772,sample was sent to me for review
44415,340931,sample of this for review
44596,2823841,sample of this product to facilitate my review
44907,1168496,Sample provided for review
45173,529704,Sample provided for review
45342,1547541,sample of this product to review
45747,3325949,sample for review
45798,3346843,sample was provided for review
45817,2951303,sample of the Vtech InnoTab 3 for review
45836,1209471,sample was provided for testing
45852,146137,sample of this product to facilitate my review
